#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 RA		 Dec		 psf_nstar  neff_psf	 sky_frames	 
7 	 1 	 4 	 1.597 	 0.867 	 1.596 	1.247 	52576.097430 	311.4510 	-1.1543 	56 	 36.219 	32.969 	
8 	 1 	 0 	 1.785 	 0.952 	 1.749 	1.245 	52576.097015 	311.6007 	-1.1543 	65 	 43.508 	1.507 	
8 	 1 	 1 	 1.676 	 0.962 	 1.681 	1.248 	52576.098674 	311.6007 	-1.1543 	25 	 40.158 	1.868 	
8 	 1 	 2 	 1.544 	 0.962 	 1.565 	1.242 	52576.095357 	311.6007 	-1.1543 	19 	 34.844 	5.783 	
8 	 1 	 3 	 1.484 	 0.994 	 1.492 	1.243 	52576.096186 	311.6007 	-1.1543 	27 	 31.662 	10.740 	
8 	 1 	 4 	 1.606 	 0.864 	 1.610 	1.247 	52576.097845 	311.6007 	-1.1543 	65 	 36.876 	33.491 	
9 	 1 	 0 	 1.780 	 0.947 	 1.742 	1.245 	52576.097430 	311.7504 	-1.1543 	61 	 43.167 	1.501 	
9 	 1 	 1 	 1.666 	 0.963 	 1.668 	1.248 	52576.099088 	311.7504 	-1.1543 	25 	 39.562 	1.856 	
9 	 1 	 2 	 1.517 	 0.970 	 1.518 	1.242 	52576.095771 	311.7504 	-1.1543 	24 	 32.769 	5.811 	
9 	 1 	 3 	 1.484 	 0.995 	 1.488 	1.243 	52576.096601 	311.7504 	-1.1543 	29 	 31.469 	10.782 	
9 	 1 	 4 	 1.639 	 0.862 	 1.638 	1.247 	52576.098259 	311.7504 	-1.1543 	70 	 38.147 	33.918 	
10 	 1 	 0 	 1.789 	 0.944 	 1.754 	1.245 	52576.097845 	311.9001 	-1.1543 	51 	 43.731 	1.499 	
10 	 1 	 1 	 1.707 	 0.967 	 1.712 	1.248 	52576.099503 	311.9001 	-1.1543 	18 	 41.654 	1.849 	
10 	 1 	 2 	 1.514 	 0.967 	 1.525 	1.242 	52576.096186 	311.9001 	-1.1543 	25 	 33.078 	5.834 	
10 	 1 	 3 	 1.486 	 0.995 	 1.491 	1.243 	52576.097015 	311.9001 	-1.1543 	27 	 31.591 	10.858 	
10 	 1 	 4 	 1.618 	 0.864 	 1.615 	1.247 	52576.098674 	311.9001 	-1.1543 	53 	 37.105 	34.059 	
11 	 1 	 0 	 1.833 	 0.948 	 1.786 	1.245 	52576.098259 	312.0498 	-1.1543 	55 	 45.355 	1.499 	
11 	 1 	 1 	 1.699 	 0.960 	 1.700 	1.248 	52576.099918 	312.0498 	-1.1543 	18 	 41.067 	1.849 	
11 	 1 	 2 	 1.512 	 0.968 	 1.520 	1.242 	52576.096601 	312.0498 	-1.1543 	27 	 32.867 	5.858 	
11 	 1 	 3 	 1.494 	 0.992 	 1.503 	1.243 	52576.097430 	312.0498 	-1.1543 	26 	 32.136 	11.008 	
11 	 1 	 4 	 1.586 	 0.866 	 1.586 	1.247 	52576.099088 	312.0498 	-1.1543 	52 	 35.743 	34.161 	
12 	 1 	 0 	 1.782 	 0.945 	 1.747 	1.245 	52576.098674 	312.1995 	-1.1543 	60 	 43.412 	1.504 	
12 	 1 	 1 	 1.689 	 0.965 	 1.704 	1.248 	52576.100332 	312.1995 	-1.1543 	24 	 41.267 	1.850 	
12 	 1 	 2 	 1.524 	 0.967 	 1.532 	1.242 	52576.097015 	312.1995 	-1.1543 	25 	 33.383 	5.873 	
12 	 1 	 3 	 1.496 	 0.994 	 1.500 	1.243 	52576.097845 	312.1995 	-1.1543 	24 	 32.006 	11.197 	
12 	 1 	 4 	 1.612 	 0.866 	 1.598 	1.247 	52576.099503 	312.1995 	-1.1543 	63 	 36.329 	34.120 	
13 	 1 	 0 	 1.796 	 0.947 	 1.757 	1.245 	52576.099088 	312.3492 	-1.1543 	72 	 43.872 	1.495 	
13 	 1 	 1 	 1.696 	 0.967 	 1.708 	1.248 	52576.100747 	312.3492 	-1.1543 	34 	 41.465 	1.851 	
13 	 1 	 2 	 1.524 	 0.967 	 1.534 	1.242 	52576.097430 	312.3492 	-1.1543 	26 	 33.474 	5.897 	
13 	 1 	 3 	 1.545 	 0.990 	 1.551 	1.243 	52576.098259 	312.3492 	-1.1543 	27 	 34.193 	11.307 	
13 	 1 	 4 	 1.594 	 0.867 	 1.588 	1.247 	52576.099918 	312.3492 	-1.1543 	68 	 35.847 	34.020 	
14 	 1 	 0 	 1.805 	 0.946 	 1.767 	1.245 	52576.099503 	312.4989 	-1.1543 	69 	 44.394 	1.475 	
14 	 1 	 1 	 1.698 	 0.960 	 1.713 	1.248 	52576.101162 	312.4989 	-1.1543 	30 	 41.715 	1.845 	
14 	 1 	 2 	 1.531 	 0.968 	 1.537 	1.242 	52576.097845 	312.4989 	-1.1543 	16 	 33.609 	5.913 	
14 	 1 	 3 	 1.494 	 0.992 	 1.506 	1.243 	52576.098674 	312.4989 	-1.1543 	22 	 32.230 	11.308 	
14 	 1 	 4 	 1.610 	 0.866 	 1.598 	1.247 	52576.100332 	312.4989 	-1.1543 	60 	 36.310 	33.742 	
15 	 1 	 0 	 1.818 	 0.948 	 1.776 	1.245 	52576.099918 	312.6486 	-1.1543 	57 	 44.827 	1.476 	
15 	 1 	 1 	 1.734 	 0.959 	 1.738 	1.248 	52576.101576 	312.6486 	-1.1543 	23 	 42.970 	1.854 	
15 	 1 	 2 	 1.565 	 0.964 	 1.574 	1.242 	52576.098259 	312.6486 	-1.1543 	11 	 35.220 	5.946 	
15 	 1 	 3 	 1.488 	 0.995 	 1.505 	1.243 	52576.099088 	312.6486 	-1.1543 	18 	 32.216 	11.325 	
15 	 1 	 4 	 1.628 	 0.864 	 1.616 	1.247 	52576.100747 	312.6486 	-1.1543 	46 	 37.127 	33.414 	
16 	 1 	 0 	 1.795 	 0.946 	 1.765 	1.245 	52576.100332 	312.7983 	-1.1542 	52 	 44.274 	1.469 	
16 	 1 	 1 	 1.682 	 0.959 	 1.694 	1.248 	52576.101991 	312.7983 	-1.1542 	30 	 40.785 	1.863 	
16 	 1 	 2 	 1.529 	 0.968 	 1.539 	1.242 	52576.098674 	312.7983 	-1.1542 	21 	 33.676 	5.944 	
16 	 1 	 3 	 1.496 	 0.992 	 1.516 	1.243 	52576.099503 	312.7983 	-1.1542 	23 	 32.658 	11.296 	
16 	 1 	 4 	 1.624 	 0.865 	 1.612 	1.247 	52576.101162 	312.7983 	-1.1542 	61 	 36.945 	33.191 	
17 	 1 	 0 	 1.809 	 0.945 	 1.779 	1.245 	52576.100747 	312.9480 	-1.1542 	53 	 44.997 	1.471 	
17 	 1 	 1 	 1.692 	 0.958 	 1.712 	1.248 	52576.102406 	312.9480 	-1.1542 	40 	 41.686 	1.869 	
17 	 1 	 2 	 1.524 	 0.967 	 1.537 	1.242 	52576.099088 	312.9480 	-1.1542 	30 	 33.574 	5.933 	
17 	 1 	 3 	 1.503 	 0.992 	 1.514 	1.243 	52576.099918 	312.9480 	-1.1542 	31 	 32.605 	11.238 	
17 	 1 	 4 	 1.626 	 0.862 	 1.623 	1.247 	52576.101576 	312.9480 	-1.1542 	72 	 37.461 	32.993 	
18 	 1 	 0 	 1.808 	 0.945 	 1.776 	1.245 	52576.101162 	313.0977 	-1.1542 	66 	 44.839 	1.463 	
18 	 1 	 1 	 1.721 	 0.957 	 1.730 	1.248 	52576.102820 	313.0977 	-1.1542 	36 	 42.565 	1.866 	
18 	 1 	 2 	 1.545 	 0.968 	 1.550 	1.242 	52576.099503 	313.0977 	-1.1542 	28 	 34.177 	5.911 	
18 	 1 	 3 	 1.504 	 0.990 	 1.520 	1.243 	52576.100332 	313.0977 	-1.1542 	30 	 32.867 	11.147 	
18 	 1 	 4 	 1.615 	 0.864 	 1.608 	1.247 	52576.101991 	313.0977 	-1.1542 	66 	 36.767 	32.723 	
19 	 1 	 0 	 1.825 	 0.951 	 1.777 	1.245 	52576.101576 	313.2474 	-1.1542 	65 	 44.919 	1.470 	
