#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 psf_nstar  neff_psf	 sky_frames	 
9 	 1 	 4 	 1.423 	 0.939 	 1.390 	1.204 	53288.089911 	11 	 27.465 	23.702 	
10 	 1 	 0 	 1.691 	 0.939 	 1.636 	1.204 	53288.089497 	37 	 38.071 	1.575 	
10 	 1 	 1 	 1.508 	 0.960 	 1.476 	1.205 	53288.091155 	4 	 30.973 	1.791 	
10 	 1 	 2 	 1.280 	 0.984 	 1.236 	1.203 	53288.087838 	2 	 21.722 	4.978 	
10 	 1 	 3 	 1.232 	 0.995 	 1.205 	1.203 	53288.088667 	3 	 20.647 	8.429 	
10 	 1 	 4 	 1.396 	 0.936 	 1.380 	1.204 	53288.090326 	20 	 27.077 	23.769 	
11 	 1 	 0 	 1.649 	 0.932 	 1.619 	1.204 	53288.089911 	39 	 37.252 	1.587 	
11 	 1 	 1 	 1.537 	 0.954 	 1.523 	1.205 	53288.091570 	3 	 32.973 	1.811 	
11 	 1 	 2 	 1.270 	 0.974 	 1.238 	1.203 	53288.088253 	4 	 21.806 	5.007 	
11 	 1 	 3 	 1.232 	 0.995 	 1.205 	1.203 	53288.089082 	1 	 20.647 	8.461 	
11 	 1 	 4 	 1.382 	 0.934 	 1.369 	1.204 	53288.090740 	23 	 26.643 	23.915 	
12 	 1 	 0 	 1.580 	 0.946 	 1.548 	1.204 	53288.090326 	57 	 34.092 	1.594 	
12 	 1 	 1 	 1.514 	 0.959 	 1.479 	1.205 	53288.091984 	4 	 31.090 	1.804 	
12 	 1 	 2 	 1.269 	 0.972 	 1.238 	1.203 	53288.088667 	4 	 21.804 	5.001 	
12 	 1 	 3 	 1.232 	 0.995 	 1.205 	1.203 	53288.089497 	2 	 20.647 	8.473 	
12 	 1 	 4 	 1.407 	 0.936 	 1.392 	1.204 	53288.091155 	24 	 27.551 	24.025 	
13 	 1 	 0 	 1.643 	 0.943 	 1.604 	1.204 	53288.090740 	53 	 36.566 	1.585 	
13 	 1 	 1 	 1.517 	 0.970 	 1.469 	1.205 	53288.092399 	10 	 30.688 	1.801 	
13 	 1 	 2 	 1.363 	 0.970 	 1.340 	1.203 	53288.089082 	2 	 25.513 	4.996 	
13 	 1 	 3 	 1.232 	 0.995 	 1.205 	1.203 	53288.089911 	0 	 20.647 	8.486 	
13 	 1 	 4 	 1.422 	 0.935 	 1.410 	1.204 	53288.091570 	22 	 28.262 	24.093 	
14 	 1 	 0 	 1.623 	 0.944 	 1.582 	1.204 	53288.091155 	39 	 35.585 	1.586 	
14 	 1 	 1 	 1.520 	 0.966 	 1.479 	1.205 	53288.092814 	9 	 31.092 	1.796 	
14 	 1 	 2 	 1.335 	 0.972 	 1.313 	1.203 	53288.089497 	5 	 24.525 	4.988 	
14 	 1 	 3 	 1.232 	 0.995 	 1.205 	1.203 	53288.090326 	0 	 20.647 	8.508 	
14 	 1 	 4 	 1.388 	 0.935 	 1.378 	1.204 	53288.091984 	21 	 26.991 	24.152 	
15 	 1 	 0 	 1.679 	 0.941 	 1.635 	1.204 	53288.091570 	41 	 38.001 	1.590 	
15 	 1 	 1 	 1.512 	 0.965 	 1.469 	1.205 	53288.093228 	12 	 30.666 	1.809 	
15 	 1 	 2 	 1.315 	 0.976 	 1.280 	1.203 	53288.089911 	2 	 23.299 	5.005 	
15 	 1 	 3 	 1.260 	 0.993 	 1.210 	1.203 	53288.090740 	1 	 20.806 	8.558 	
15 	 1 	 4 	 1.440 	 0.936 	 1.424 	1.204 	53288.092399 	24 	 28.844 	24.249 	
16 	 1 	 0 	 1.606 	 0.941 	 1.557 	1.204 	53288.091984 	49 	 34.490 	1.596 	
16 	 1 	 1 	 1.524 	 0.961 	 1.488 	1.205 	53288.093643 	15 	 31.478 	1.824 	
16 	 1 	 2 	 1.316 	 0.938 	 1.348 	1.203 	53288.090326 	6 	 25.845 	5.005 	
16 	 1 	 3 	 1.322 	 0.991 	 1.292 	1.203 	53288.091155 	4 	 23.749 	8.585 	
16 	 1 	 4 	 1.417 	 0.927 	 1.404 	1.204 	53288.092814 	24 	 28.034 	24.295 	
17 	 1 	 0 	 1.641 	 0.951 	 1.592 	1.204 	53288.092399 	52 	 36.051 	1.659 	
17 	 1 	 1 	 1.586 	 0.958 	 1.554 	1.205 	53288.094057 	13 	 34.354 	1.932 	
17 	 1 	 2 	 1.266 	 0.975 	 1.229 	1.203 	53288.090740 	6 	 21.463 	5.072 	
17 	 1 	 3 	 1.315 	 0.992 	 1.287 	1.203 	53288.091570 	5 	 23.549 	8.673 	
17 	 1 	 4 	 1.483 	 0.927 	 1.471 	1.204 	53288.093228 	24 	 30.755 	24.506 	
18 	 1 	 0 	 1.720 	 0.944 	 1.662 	1.204 	53288.092814 	38 	 39.288 	1.997 	
18 	 1 	 1 	 1.722 	 0.942 	 1.700 	1.205 	53288.094472 	14 	 41.096 	2.318 	
18 	 1 	 2 	 1.298 	 0.976 	 1.267 	1.203 	53288.091155 	2 	 22.837 	5.268 	
18 	 1 	 3 	 1.315 	 0.992 	 1.287 	1.203 	53288.091984 	0 	 23.549 	8.865 	
18 	 1 	 4 	 1.422 	 0.934 	 1.405 	1.204 	53288.093643 	19 	 28.082 	25.378 	
19 	 1 	 0 	 1.653 	 0.949 	 1.604 	1.204 	53288.093228 	54 	 36.576 	1.626 	
19 	 1 	 1 	 1.613 	 0.949 	 1.589 	1.205 	53288.094887 	18 	 35.904 	1.895 	
19 	 1 	 2 	 1.312 	 0.975 	 1.282 	1.203 	53288.091570 	3 	 23.370 	5.062 	
19 	 1 	 3 	 1.281 	 1.002 	 1.235 	1.203 	53288.092399 	1 	 21.674 	8.660 	
19 	 1 	 4 	 1.517 	 0.925 	 1.509 	1.204 	53288.094057 	24 	 32.363 	24.693 	
20 	 1 	 0 	 1.659 	 0.956 	 1.602 	1.204 	53288.093643 	56 	 36.507 	1.590 	
20 	 1 	 1 	 1.584 	 0.969 	 1.551 	1.205 	53288.095301 	16 	 34.222 	1.820 	
20 	 1 	 2 	 1.333 	 0.971 	 1.300 	1.203 	53288.091984 	5 	 24.047 	5.039 	
20 	 1 	 3 	 1.293 	 0.997 	 1.258 	1.203 	53288.092814 	5 	 22.486 	8.695 	
20 	 1 	 4 	 1.523 	 0.928 	 1.511 	1.204 	53288.094472 	30 	 32.483 	24.728 	
21 	 1 	 0 	 1.754 	 0.928 	 1.715 	1.204 	53288.094057 	43 	 41.811 	1.597 	
21 	 1 	 1 	 1.528 	 0.955 	 1.509 	1.205 	53288.095716 	11 	 32.395 	1.887 	
21 	 1 	 2 	 1.387 	 0.964 	 1.379 	1.203 	53288.092399 	5 	 27.020 	5.197 	
21 	 1 	 3 	 1.224 	 1.002 	 1.191 	1.203 	53288.093228 	8 	 20.182 	9.027 	
21 	 1 	 4 	 1.477 	 0.926 	 1.454 	1.204 	53288.094887 	28 	 30.055 	25.073 	
